name,time,team
Ember Large,31:38.91,University of Alberta
Mikaela York,31:39.60,University of Calgary
Katie Matthews,31:39.70,Western University
Jade Bouchard-Nguyen,31:42.68,Universite de Montreal
Abby Ackerman,31:45.31,MacEwan University
Mireille Turcotte,31:45.46,Sherbrooke
Rebecca Beaumont,31:50.54,Universite de Montreal
Sadie-Jane Hickson,31:52.27,University of Guelph
Madalyn Higgins,31:53.07,Acadia University
Madison Greenough,31:55.90,University of Waterloo
Jovana Tepavac,31:57.31,University of Alberta
Emily Nichols,31:57.55,University of Waterloo
Samantha McGuinness,31:58.02,University of Waterloo
Andreanne Marquis,31:59.87,Sherbrooke
Breanna Faiczak,32:00.12,Western University
Nicole Balzer,32:01.98,University of Manitoba
Chanelle Gagne,32:02.44,MacEwan University
Nicole Kitt,32:03.62,University of Calgary
Meredith Leitch,32:04.21,Western University
Faryn Brown,32:06.91,Thompson Rivers University
Sydney Pattison,32:08.12,Wilfrid Laurier University
Kate Anderson,32:10.61,University of Calgary
Tianna Dodds,32:11.91,University of Regina
Kamylle Frenette,32:12.18,Universite de Moncton
Katie Robinson,32:13.63,Acadia University
Janine Zajac,32:15.91,University of Manitoba
Shayna Quibell,32:18.36,University of Calgary
Hilary Stone,32:20.00,Western University
Marianne Leclerc,32:25.04,Universite de Montreal
Jenna MacDonald,32:25.25,Dalhousie University
Nicole Rich,32:28.53,Laurentian University
Hannah Cormier,32:30.16,Dalhousie University
Britanny Elliott,32:30.71,University of Alberta
Noemie Gravel,32:32.19,Universite de Montreal
Chrissy Smith,32:32.53,Acadia University
Kendra Murray,32:37.64,Thompson Rivers University
Meghan Sippel,32:38.84,Laurentian University
Amy Severtson,32:47.46,University of Saskatchewan
Stephanie Wildfong,32:51.32,Wilfrid Laurier University
Ellen Taggart,32:52.85,Acadia University
Melanie McKenna,32:53.18,Dalhousie University
Shana Turcotte-Murray,32:53.74,Sherbrooke
Jenna Gascho,32:54.92,Wilfrid Laurier University
Anjoli Vanderkuur,32:56.59,Western University
Jasmin Aggarwal,32:59.22,University of Toronto
Belinda Guerra,33:01.45,University of Manitoba
Shayna Giesbrecht,33:01.91,University of Manitoba
Lindsay Balezantis,33:04.76,University of Saskatchewan
Hayley Carescia,33:05.56,Wilfrid Laurier University
Madeleine Nolan,33:08.42,University of Waterloo
Madeleine Kennedy,33:09.69,McMaster University
Audrey Laprise,33:10.05,Universite de Montreal
Alexandra McGowan,33:18.03,University of Waterloo
Natalia Bidulka,33:20.32,University of Saskatchewan
Nicole Sartor,33:20.91,Laurentian University
Sehjal Bhargava,33:25.23,University of Saskatchewan
Gillian Phillips,33:28.89,University of Saskatchewan
Erin Tramley,33:33.85,University of Manitoba
Jennifer Shannon,33:35.94,Trinity Western University
Claire Noort,33:39.30,Trinity Western University
Mackenzie Seagram,33:42.23,Acadia University
Rachel Lobay,33:54.75,Thompson Rivers University
Lauren Kerker,34:13.77,Wilfrid Laurier University
Kate Scallion,34:31.37,Dalhousie University
Jocelyn Leffers,34:52.52,MacEwan University
Zoe Painter,34:53.80,Thompson Rivers University
Olivia Chadwick,35:07.96,University of Saskatchewan
Emily Atherton,35:27.28,Thompson Rivers University
Erica Johnson,35:35.83,Thompson Rivers University
